Play #,Column1,ODK,Dn,Dist,Yard ln,Hash,Off form,Off str,Backfield,Off play,Play type,Play dir,Result,gn/ls,Eff,Def Front,Def Strengh,Blitz,Coverage,Qtr
70,0,D,3,19,-44,L,DAK,BAL,,OTTER (EAST) (UGLY),Run,L,Rush,-4,Y,UNDER,,,4,2
144,0,D,1,10,25,M,DAK,BAL,,OTTER (F),Run,R,Rush,7,N,OVER,,,4,4
34,0,D,2,14,14,L,DAK,BAL,ACE,ZEBRA (EAST) (ROCKET),Run,R,Rush,0,Y,OVER,,,3 ROLL,1
47,0,D,3,9,-33,M,DAK,BAL,,BLUE (WHEELS),Pass,L,Incomplete,0,Y,STACK,,,3 SKY,2
56,0,D,2,10,-28,L,DAK,BAL,,,Pass,L,Complete,8,N,OVER,,,3 CLOUD B,2
57,0,D,3,2,-36,L,DAK,BAL,,,Pass,L,Complete,1,Y,OVER,,,3 SKY,2
62,0,D,1,10,20,L,DAK,BAL,ACE,ZEBRA (ROCKET),Run,R,Rush,-1,Y,OVER,,,3 SKY,2
109,0,D,3,10,-41,L,DAK,BAL,,,Run,R,Rush,2,Y,STACK,,,3 ROLL,3
130,0,D,3,11,-18,M,DAK,BAL,,BROWN,Pass,R,Scramble,34,N,STACK,,,2 MAN,4
11,0,D,2,16,-36,R,BEAST,R,SPLIT,ZEBRA (INSERT),Run,L,Rush,1,Y,OVER,,,3 ROLL,1
12,0,D,3,15,-37,L,BEAST,R,SPLIT,,Run,R,Rush,1,Y,OVER,,,3 SKY,1
15,0,D,2,6,1,M,BEAST,R,SPLIT,,Run,L,Penalty,-9,Y,BEAR,,,1 MAN,1
16,0,D,2,15,10,M,BEAST,,,,Run,R,Rush,-2,Y,,,,3 ROLL,1
88,0,D,2,9,-21,M,BEAST,L,SPLIT,,Pass,R,Incomplete,0,Y,OVER,,,3 SKY,3
89,0,D,3,9,-21,M,BEAST,R,SPLIT,,Pass,R,Complete,0,Y,STACK,,,3 SKY,3
90,0,D,4,9,-21,M,BEAST,L,SPLIT,,Pass,R,"Complete, TD",79,N,STACK,,,3 SKY,3
135,0,D,4,3,41,L,BEAST,R,SPLIT,,Pass,L,Incomplete,0,Y,STACK,,,3 ROLL,4
46,0,D,2,10,-32,M,SQUEEZE BUNCH,L,ACE,,Run,L,Rush,1,Y,STACK,,,3 ROLL,2
45,0,D,1,10,-32,M,SQUEEZE BUNCH,L,,,Run,R,Rush,0,Y,UNDER,,,3 ROLL,2
115,0,D,3,1,-37,L,,,EMPTY,,Run,R,Rush,16,N,OVER,,,,4
164,0,D,3,8,23,R,Bunch,L,,ROCKET,Pass,L,Complete,12,N,STACK,,,3 ROLL,4
119,0,D,3,1,28,M,,,EMPTY,,Run,L,Rush,-4,Y,STACK,,,,4
17,0,D,3,17,12,M,,,,,Run,L,Rush,5,Y,,,,,1
165,0,D,1,10,11,R,SQUEEZE BUNCH,L,,,Run,L,Rush,0,Y,,,,3 SKY,4
5,0,D,1,10,-26,L,BAMA,R,,,Pass,R,Complete,10,N,OVER,,,4,1
91,0,D,4,4,-31,R,,,,,,,Penalty,5,N,OVER,,,,3
112,0,D,1,10,-28,R,BAYLOR,L,,,,,Penalty,5,N,OVER,,,,4
106,0,D,1,10,-41,L,,,,,,,Timeout,0,Y,,,,,3
107,0,D,1,10,-41,L,,,,,Run,L,Rush,0,Y,,,,3,3
108,0,D,2,10,-41,L,SQUEEZE BUNCH,L,ACE,,Pass,R,Incomplete,0,Y,STACK,,,3 ROLL,3
14,0,O,1,10,-30,L,TRAY RT,R,ACE,ZEBRA,Run,L,Rush,4,Y,,,,,1
15,0,O,2,6,-34,L,TRAY RT,R,ACE,ZEBRA,Run,R,Rush,3,Y,,,,,1
16,0,O,3,3,-37,R,DODGE RT,R,,BUCK SWEEP,Run,R,Rush,4,Y,,,,,1
17,0,O,1,10,-41,R,DODGE RT,R,,BUCK SWEEP,Run,R,Rush,3,N,,,,,1
18,0,O,2,7,-44,R,,,,,,,Penalty,5,Y,,,,,1
19,0,O,2,2,-49,R,TRAY LT,L,ACE,ZEBRA,Run,L,Rush,5,Y,,,,,1
20,0,O,1,10,46,M,,,,,,,Penalty,-5,N,,,,,1
21,0,O,1,15,-49,M,TRAY LT,L,ACE,ZEBRA,Run,R,Rush,5,N,,,,,1
22,0,O,2,10,46,R,TAG RT,L,,BROWN ALL,Pass,L,Complete,5,Y,,,,,1
23,0,O,3,5,41,L,TRIPLE RT,R,ACE,BLUE,Pass,R,Complete,8,Y,,,,,1
24,0,O,1,10,33,M,DODGE LT,L,,BUCK SWEEP,Run,R,Rush,6,Y,,,,,1
25,0,O,2,4,27,R,DODGE RT,R,,BUCK SWEEP,Run,R,Rush,10,Y,,,,,1
26,0,O,1,10,17,R,,,,,,,Penalty,-5,N,,,,,1
27,0,O,1,15,22,R,DODGE RT,R,,ROCKET,Pass,L,Complete,6,Y,,,,,1
28,0,O,2,9,16,L,DODGE LT,L,,BUCK SWEEP,Run,L,Rush,-2,N,,,,,1
29,0,O,3,11,18,L,TRIPLE RT,R,ACE,E. KEY 4,Pass,L,Incomplete,0,N,,,,,2
36,0,O,1,10,-43,M,DODGE RT,R,,BUCK SWEEP,Run,R,Rush,1,N,,,,,2
37,0,O,2,9,-44,R,TRIPLE LT,L,ACE,E. KEY 2,Pass,L,Complete,7,Y,,,,,2
38,0,O,3,2,49,R,TRAY LT,L,ACE,ZEBRA,Run,R,Rush,7,Y,,,,,2
39,0,O,1,10,42,R,TRAY LT,L,ACE,ZEBRA,Run,R,Rush,4,Y,,,,,2
40,0,O,2,6,38,R,DODGE RT,R,,BUCK SWEEP,Run,R,Rush,7,Y,,,,,2
41,0,O,1,10,31,R,DODGE RT,R,,BUCK SWEEP,Run,R,Rush,6,Y,,,,,2
42,0,O,2,4,25,R,DODGE RT,R,,CRISS CROSS,Run,L,Rush,0,N,,,,,2
43,0,O,3,4,25,L,TRAY RT,R,ACE,ZEBRA,Run,R,Rush,8,Y,,,,,2
44,0,O,1,10,17,L,DODGE LT,L,,BUCK SWEEP,Run,L,Rush,6,Y,,,,,2
45,0,O,2,4,11,L,DODGE LT,L,,BUCK SWEEP,Run,R,Rush,3,Y,,,,,2
46,0,O,3,1,8,L,TANK LT,L,,L OTTER,Run,R,"Rush, TD",8,Y,,,,,2
51,0,S,2,11,34,M,,,,,,,,,,,,,,2
55,0,O,1,10,-24,L,,,,,,,Penalty,-5,N,,,,,2
56,0,O,1,15,-19,L,,,,,,,Penalty,-5,N,,,,,2
57,0,O,1,20,-14,L,TRIPLE RT,R,ACE,KEY 2,Pass,R,Complete,43,Y,,,,,2
58,0,O,1,10,43,R,DODGE RT,R,,ROCKET,Pass,L,Complete,9,Y,,,,,2
59,0,O,2,1,34,L,DODGE LT,L,,BUCK SWEEP,Run,L,Rush,-3,N,,,,,2
60,0,O,3,4,37,L,TRIPLE RT,R,ACE,BLUE,Pass,L,Penalty,15,Y,,,,,2
61,0,O,1,10,22,L,DODGE LT,L,,BUCK SWEEP,Run,L,Rush,2,N,,,,,2
62,0,O,2,8,20,L,TRIPLE RT,R,ACE,E. KEY 4,Pass,L,Complete,2,N,,,,,2
63,0,O,3,6,18,L,DAK,BAL,ACE,PACER WHEEL,Pass,L,Interception,,N,,,,,2
72,0,O,1,10,-19,L,TRAY RT,R,ACE,ZEBRA,Run,L,Rush,1,N,,,,,3
73,0,O,2,9,-20,L,DODGE LT,L,,ROCKET,Pass,R,Complete,8,Y,,,,,3
